5.000000000000000000e+00 5.334543276544294610e-01 1.000000000000000000e+00
7.000000000000000000e+00 2.057784164717124942e-01 4.000000000000000000e+00
1.600000000000000000e+01 1.193189024875391802e-01 5.000000000000000000e+00
1.390000000000000000e+02 5.591054010261680557e-02 5.100000000000000000e+01
1.800000000000000000e+01 1.382950546553665672e-01 3.600000000000000000e+01
1.400000000000000000e+01 2.847314954576242729e-01 5.000000000000000000e+00
2.400000000000000000e+01 3.741732940144755493e-02 7.000000000000000000e+00
1.800000000000000000e+01 8.077865642047908634e-02 5.000000000000000000e+00
2.000000000000000000e+01 4.991823503261475503e-01 1.400000000000000000e+01
2.700000000000000000e+01 3.588572810758235421e-01 1.200000000000000000e+01
1.500000000000000000e+01 1.789874829246485000e-01 5.000000000000000000e+00
1.000000000000000000e+01 2.809463868084391969e-01 3.000000000000000000e+00
1.600000000000000000e+01 1.295964825713421531e-01 5.000000000000000000e+00
9.000000000000000000e+00 8.417973055626394585e-02 2.000000000000000000e+00
1.800000000000000000e+01 5.926708987290767866e-02 9.000000000000000000e+00
5.400000000000000000e+01 1.022936927444423466e-01 2.600000000000000000e+01
5.000000000000000000e+00 2.130328859728878588e-01 3.000000000000000000e+00
5.200000000000000000e+01 3.958721715739302316e-02 1.200000000000000000e+01
9.000000000000000000e+00 1.227638696545980818e-01 2.400000000000000000e+01
1.800000000000000000e+01 8.565010387318817281e-03 3.100000000000000000e+01
6.000000000000000000e+00 4.410633753591632761e-02 7.000000000000000000e+00
1.670000000000000000e+02 4.947385993841508234e-01 4.800000000000000000e+01
9.000000000000000000e+00 2.793267754100665912e-02 2.000000000000000000e+00
1.700000000000000000e+01 1.471422792092755560e-01 5.000000000000000000e+00
2.900000000000000000e+01 3.606943810962210534e-02 1.200000000000000000e+01
1.980000000000000000e+02 5.666271714280464167e-01 6.400000000000000000e+01
1.500000000000000000e+01 3.086948548793433944e-01 5.000000000000000000e+00
1.240000000000000000e+02 2.012156228443005568e-01 5.100000000000000000e+01
1.300000000000000000e+02 1.913356792696752351e-01 5.600000000000000000e+01
1.210000000000000000e+02 7.990029445071513692e-01 4.000000000000000000e+01
